Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Lucas Höler,"AM (RLC), ST (C)",30,GER,"6'0""",182 lbs,,SC Freiburg,£6M - £9.4M,6.94,16,0,-,3.09,48%,1.49,15.05,0.06,20.51,88%,0.48,6,17,29%,1.35,73%,0,1.01,9,38,9.08,3.37,37%,0,1.12,76,7.7mi,1,0,27,37,"3,203",110,2,0,86.57,53,323,5,274.6mi,40,120,36,17,827,730,66,48,30/6/2025,"£29,000 p/w",Right,12,1-2,13-16,12-15,12-15,12-16,16-20,1-3,1-4,9-13,12-16,3-7,5-8,11-14,15-19,11-14,1-5,12,12,9-13,3-7,1,15,14,1-4,7-10,9-12,3-7,7-11,12-15,15-18,1-4,14,12,12-15,9-13,3-6,1-4,1-3,15-18,13,10-13,16-19,11-14,1-3,10-13,17-20,0.08,0.17,0.14,7.76,2.67,18.88,7.22,1.74,0.65,0.10,6,-,-,15%,0.48,-,-,17,-,-,-,-,-,0.42,-,15.05,Bundesliga,Leader,Striker,Scouting Required,0,0.17,0.25,0.48,0.14,3,5.70,0.00,29%,0.48,0.14,23.24,0.00,0.70,0.42,-,Wnt,- -  - 
Adrien Truffert,D/WB/M (L),23,FRA,"5'8""",136 lbs,,Rennes,£26M - £40M,6.77,1,0,-,0.29,29%,0.08,1.46,0.04,41.06,87%,1.69,3,110,17%,3.51,87%,5,2.35,21,45,3.10,1.36,44%,1,2.35,41,7.9mi,5,1,4,28,"2,179",7,1,0,77.82,2,75,19,190.9mi,57,33,57,41,"1,147",994,98,85,30/6/2025,"£19,750 p/w",Left,14,1-3,12-15,11-15,10-14,13-17,12-16,3-6,1-4,10-14,11-14,5-8,14-17,13-16,13,10-14,1-2,11-15,13,11-14,4-8,2-5,9,8,1-2,9-12,12-15,4-8,13,11-14,11-15,1-2,12-15,14,2-6,14,4-7,2-6,1,15-18,12,15,11-14,13-16,1-5,10-13,13-16,0.12,0.50,0.21,15.16,15.08,13.18,10.90,3.47,6.28,0.05,12,-,-,14%,1.69,-,-,41,-,-,-,-,-,0.06,-,1.46,Ligue 1 Uber Eats,Technical,Fullback,Scouting Required,0,0.12,0.87,4.54,0.78,0,1.73,0.21,17%,4.54,0.78,47.37,0.74,0.00,0.06,-,Wnt,- -  - 
Frank Onyeka,"DM, M (C)",27,NGA,"6'0""",174 lbs,,FC Augsburg,£6.2M - £7.6M,6.79,0,0,-,0.57,27%,0.16,0.78,0.10,45.31,90%,1.05,4,8,25%,2.56,73%,2,1.46,13,30,3.24,1.10,34%,0,0.63,19,8.2mi,0,0,2,21 (4),"1,722",11,2,0,68.88,3,62,2,156.8mi,12,21,28,20,963,867,67,49,30/6/2026,"£35,000 p/w",Right,13-17,1-3,13-17,10-13,10-13,12-15,13-16,1-2,2-5,11-14,10-14,3-7,8-12,10-13,16-19,9-12,1-3,11-14,12,12,7-10,1-4,9-13,8-12,1,6-10,11,7-10,7-11,13-17,10-13,1-3,12-16,12,5-8,12-15,1-4,3-6,1-5,13-16,13,13,12-16,10-13,2-5,13,17,0.10,0.31,0.07,12.33,11.45,6.85,9.15,3.14,4.76,0.13,6,-,-,-,1.05,-,-,20,-,-,-,-,-,0.04,-,0.78,Bundesliga,Physical,Midfielder,Scouting Required,0,0.21,0.68,0.42,0.10,0,2.14,0.10,25%,0.42,0.10,50.33,0.05,0.26,0.04,-,Int,- -  - 
Nampalys Mendy,"DM, M (C)",32,SEN,"5'6""",152 lbs,,RC Lens,£22K - £220K,6.93,5,0,-,0.50,54%,0.27,1.11,0.08,45.44,89%,1.01,5,14,7%,2.24,77%,1,1.93,23,43,2.98,0.73,25%,0,0.58,21,8.1mi,5,1,3,29 (1),"2,327",13,2,0,77.57,7,77,1,209.3mi,15,19,50,26,"1,315","1,175",75,58,30/6/2024,"£13,250 p/w",Right,9-13,1-4,10-14,13-17,13-17,10-13,11-14,1-5,1-4,13-16,12-15,7-10,7-11,12-16,11-14,10-14,1-3,5-8,13,8,4-7,1-4,8-11,4-7,1-4,4-8,7,4-7,12-15,11-15,7-11,1-3,11-14,14,10-14,11-14,1-4,1,3-6,13,11,15,16,11-15,1-2,12,15,0.08,0.54,0.09,12.07,12.65,6.46,10.67,2.63,4.06,0.06,14,-,-,38%,1.01,-,-,26,-,-,-,-,-,0.04,-,1.11,Ligue 1 Uber Eats,Technical,Experienced midfielder,Scouting Required,0,0.19,0.89,0.54,0.04,0,2.24,0.04,7%,0.54,0.04,50.86,0.12,0.12,0.04,-,,- -  - 
Ludovic Blas,M/AM (RC),27,FRA,"5'11""",160 lbs,,Rennes,£25M - £30M,7.02,6,0,-,2.36,34%,0.81,7.16,0.18,29.72,84%,2.57,3,147,9%,2.25,80%,1,1.76,15,29,3.94,1.02,26%,0,2.15,24,8.1mi,0,0,6,33,"2,559",67,5,0,77.55,23,112,27,231.4mi,61,29,50,73,"1,008",845,80,64,30/6/2026,"£18,750 p/w",Left,13,1-3,10-14,11-14,10-13,13-16,12-15,1-4,2-5,12-15,10-14,9-13,10-14,10-13,14-17,13-16,1-2,12,16,13-17,13-16,2-6,8,11,1-3,10-14,14,3-6,5-9,14-18,10-13,1-4,12,15,12-15,9-12,1-4,2-5,2-6,12-15,11,7-11,10-14,16,1-3,12-16,11-14,0.07,0.11,0.11,13.82,9.99,16.64,11.15,3.27,3.02,0.12,3,-,-,9%,1.79,-,-,51,-,-,-,-,-,0.25,-,7.16,Ligue 1 Uber Eats,Creative,Attacking midfielder,Scouting Required,1,0.11,0.53,5.17,0.95,2,2.92,0.04,18%,1.48,0.14,35.45,0.00,0.88,0.25,-,Wnt,- -  - 
Yeray,D (C),30,ESP,"6'0""",174 lbs,,Athletic Bilbao,£16M - £21M,6.76,1,0,-,0.31,15%,0.05,1.94,0.02,63.61,95%,0.38,2,9,22%,1.20,83%,12,2.09,43,28,5.10,3.12,61%,0,0.10,11,7.1mi,6,1,2,45,"3,744",13,1,0,83.20,2,212,2,295.3mi,4,130,87,16,"2,798","2,646",60,50,30/6/2027,"£17,000 p/w",Right,10-14,1-2,11-15,11-14,12-15,11-14,15-18,1-4,1-3,11-14,15-18,7-10,10-14,13-17,11-14,7-10,2-5,6-9,8-11,8-11,7-10,1-3,14,13-16,1-4,11-15,8-12,5-8,15-18,10-14,5-8,2-5,9-13,11-15,4-7,12-15,1-4,2-5,1-3,11-15,10-13,15,12-16,10-14,1-4,8-12,13-17,0.36,0.48,0.15,5.02,14.09,3.32,2.93,1.08,3.97,0.04,20,-,-,8%,0.38,-,-,16,-,-,-,-,-,0.05,-,1.94,LaLiga EA Sports,Intelligent,Center back,Scouting Required,0,0.05,1.03,0.22,0.05,0,1.97,0.29,22%,0.22,0.05,67.26,0.77,0.10,0.05,-,,- -  - 
Portu,M/AM (RLC),33,ESP,"5'10""",156 lbs,,Girona,£4.2M - £8.4M,6.96,1,0,-,2.49,21%,0.52,4.19,0.26,32.51,85%,1.31,4,54,12%,2.43,88%,1,2.29,4,18,4.20,1.31,31%,0,3.34,15,7.9mi,0,0,8,11 (30),"1,373",38,4,0,33.49,8,64,7,120.4mi,51,20,35,20,583,496,42,37,30/6/2026,"£12,750 p/w",Right,14-18,1-3,15-19,8-11,9-12,13-16,15-18,1-3,2-5,11-14,10-14,7-11,10-14,9-12,16-19,9-12,1-4,12-15,11-14,9-13,12-15,1-5,6,10,1-2,12-16,9-12,7-10,6-10,13-17,11-14,1-2,12-16,11-15,6-9,8-11,1-4,2-5,1-3,9-12,11-14,8-12,13-17,11-14,2-5,11-15,14-17,0.00,0.13,0.11,15.14,3.87,19.93,13.70,3.34,2.56,0.12,2,-,-,3%,1.31,-,-,20,-,-,-,-,-,0.27,-,4.19,LaLiga EA Sports,Leader,Experienced winger,Scouting Required,1,0.26,0.26,3.54,0.46,0,2.88,0.07,13%,3.54,0.46,38.22,0.00,0.79,0.27,-,,- -  - 
James Justin,"D (RLC), WB (RL)",27,ENG,"6'0""",176 lbs,,Leicester City,£11.5M - £14.5M,6.80,0,0,-,0.26,0%,0.00,0.09,0.09,46.95,90%,0.65,2,28,10%,2.59,68%,3,2.20,17,32,3.63,2.29,63%,0,1.17,23,8.0mi,2,0,2,18 (17),"2,082",6,2,0,59.49,0,84,3,184.4mi,27,53,51,15,"1,212","1,086",88,60,30/6/2025,"£65,000 p/w",Right,14,1-3,10-14,11-14,10-13,10-13,10-13,1-4,1,9-12,12-15,9-12,9-13,11-15,16,11-14,2-5,4-7,11,7-10,8-11,1-4,12,12,1-2,6-10,7-11,8-11,13,10-14,8-11,3-6,11-15,12,4-7,13,2-6,1-4,1-2,13-17,13,13,11-15,11-15,1-2,8-12,13-17,0.43,0.52,0.01,15.39,9.29,14.22,8.43,2.68,6.44,0.10,12,-,-,-,0.65,-,-,15,-,-,-,-,-,0.00,-,0.09,Premier League,Technical,Fullback,Scouting Required,0,0.09,0.73,1.21,0.13,0,1.34,0.13,11%,1.21,0.13,52.39,0.43,0.04,0.00,-,Wnt,- -  - 
Aurélio Buta,D/WB (R),28,ANG,"5'8""",145 lbs,,Reims,£550K - £4.9M,6.87,1,0,-,0.85,14%,0.12,1.84,0.04,42.67,88%,0.92,2,28,10%,2.39,71%,3,2.58,37,21,3.43,1.66,48%,0,1.50,30,7.6mi,2,0,0,29 (1),"2,337",22,1,0,77.90,3,89,3,198.0mi,39,43,67,24,"1,255","1,108",87,62,30/6/2025,"£24,500 p/w",Right,15,3-6,10-14,14-18,12-16,9-12,10-13,1-3,1-4,9-12,10-13,7-10,9-13,10-14,13,12-16,2-5,4-7,12,13-16,4-7,1-3,7,8,1-4,4-8,7-11,11-14,11,8-12,15-19,1-3,15-18,11,6-10,11,1-4,1-3,1-4,13-17,11,13,12-15,11-15,1-4,11-14,12-16,0.15,1.04,0.08,13.75,10.32,16.71,9.51,2.20,5.82,0.04,27,-,-,5%,0.92,-,-,24,-,-,-,-,-,0.07,-,1.84,Ligue 1 Uber Eats,Physical,Fullback,Scouting Required,0,0.08,1.42,1.08,0.12,1,1.77,0.12,11%,1.08,0.12,48.33,0.42,0.42,0.07,-,Int,- -  - 
Jackson Irvine,"DM, M/AM (C)",32,AUS,"6'2""",163 lbs,,St. Pauli,£550K - £5.8M,6.96,0,0,-,1.13,39%,0.45,2.78,0.08,37.28,88%,1.58,7,30,13%,2.67,87%,1,1.42,20,34,5.15,2.84,55%,0,0.77,17,7.8mi,2,1,4,28,"2,221",28,2,0,79.32,11,127,4,191.9mi,19,70,35,39,"1,049",920,76,66,30/6/2025,"£10,750 p/w",Right,10-12,1-2,16,8-11,13-16,13-16,14-17,1-3,2-4,11-13,13-15,2-4,7-9,12-14,17-19,9-12,2-4,11-14,11,10,5-8,1-2,16,16,1-2,16-18,9,7-9,11-13,15-17,13-16,1-3,12-14,12,8-11,11-14,3-5,2-5,1-2,15,12,12,18,11-13,1-3,12,16,0.49,0.24,0.10,11.83,10.98,15.20,11.67,3.08,3.53,0.13,6,-,-,-,1.58,-,-,39,-,-,-,-,-,0.11,-,2.78,Bundesliga,Leader,Tireless midfielder,Scouting Required,0,0.28,0.81,1.22,0.16,0,2.31,0.04,13%,1.22,0.16,42.51,0.00,0.28,0.11,-,Int,- -  - 
Alexsandro Ribeiro,D (C),25,BRA,"6'4""",194 lbs,,Lille,£16.5M - £21M,7.02,1,0,-,0.35,25%,0.09,1.15,0.09,54.71,90%,0.24,1,4,25%,1.26,75%,14,1.82,36,39,7.18,5.05,70%,0,0.20,16,7.2mi,5,0,2,46,"4,063",16,4,0,88.33,4,324,1,326.2mi,9,228,82,11,"2,758","2,470",76,57,30/6/2028,"£42,500 p/w",Left,13,1,14-17,8-12,10-14,13-17,14-18,3-6,1-3,10-14,11-14,2-5,4-7,12-15,13,5-9,1-3,7-11,11,9-12,4-8,1-4,15,15,1-2,8-11,7-10,5-9,14,16-19,4-8,1-4,10-13,11,8-12,14,1-4,2-6,1-3,14-17,15,13,10-13,11-14,1-3,7-10,14-17,1.02,0.31,0.07,6.09,15.48,3.77,3.30,1.37,4.10,0.05,14,-,-,6%,0.24,-,-,11,-,-,-,-,-,0.03,-,1.15,Ligue 1 Uber Eats,Physical,Center back,Scouting Required,0,0.02,0.80,0.09,0.02,0,2.13,0.31,25%,0.09,0.02,61.09,0.64,0.16,0.03,-,,- -  - 
Yann Karamoh,"AM (RLC), ST (C)",26,CIV,"6'1""",169 lbs,,Torino,£18K - £190K,6.86,1,0,-,1.53,50%,0.77,2.67,0.07,25.39,83%,1.53,4,42,9%,2.30,87%,3,2.23,16,13,6.12,2.43,40%,0,2.23,20,7.2mi,0,0,4,18 (8),"1,294",22,1,0,49.77,11,88,4,103.8mi,32,35,32,22,438,365,38,33,30/6/2024,"£30,500 p/w",Right,16,1-4,6-9,13-16,9-12,9-13,5-9,1-3,1-4,11-14,6-10,4-8,11-14,7-10,12-15,14-17,1-3,14,13,12-16,5-9,1-2,10,11,1-3,4-7,11,4-7,2-6,12-15,12-15,1-4,15,12,9-12,3-7,1-2,1-2,1-5,7-10,10,3-7,9-13,14,2-5,10-14,4-7,0.00,0.14,0.12,10.78,2.30,19.13,10.71,2.99,2.23,0.20,2,-,-,5%,1.53,-,-,22,-,-,-,-,-,0.19,-,2.67,Serie A TIM,Physical,Winger,Scouting Required,0,0.28,1.11,2.92,0.28,2,3.69,0.21,10%,2.92,0.28,30.46,0.00,0.35,0.19,-,Wnt,- -  - 
Álvaro Fernández,GK,27,ESP,"6'1""",165 lbs,,Sevilla,£4.2M - £5.4M,6.60,0,0,-,-,-,-,0.00,-,21.87,75%,-,0,-,-,0.06,33%,0,-,-,0,-,-,-,1,-,17,4.1mi,0,0,0,36,"3,210",0,0,0,89.17,-,-,-,144.7mi,0,-,0,0,"1,037",780,6,2,30/6/2028,"£14,500 p/w",Right,10-13,10-13,11-14,10-14,11-15,10-14,12-16,14,11-15,11-15,12-15,2-5,2-5,14-17,13-17,1-4,6-9,1-5,9-13,5-8,4-8,14,1-2,12-15,10-14,8-11,3-6,1-3,1-3,14-17,5-9,12-15,8-11,9-12,1-4,12-16,7-10,14-18,11-14,12-15,10-14,1,9-12,10-13,12-16,9-12,13-16,0.00,-,0.00,0.00,3.59,7.91,0.00,0.00,0.00,0.00,-,0.22,88%,-,0.00,28,0.01,0,70%,24,65,1.43,0.22,0.00,33%,0.00,LaLiga EA Sports,Assertive,Nomadic goalkeeper,Scouting Required,-,-,1.35,-,-,-,-,0.00,-,-,-,29.07,-,-,0.00,3,,- -  - 
Brice Samba,GK,31,FRA,"6'2""",198 lbs,,RC Lens,Not for Sale,7.05,0,0,-,-,-,-,0.00,-,22.01,87%,-,0,-,-,0.02,20%,0,-,-,1,-,-,-,2,-,14,3.7mi,1,0,0,47,"4,260",0,0,0,90.64,-,-,-,174.0mi,0,-,0,0,"1,194","1,042",5,1,30/6/2027,"£25,500 p/w",Left,10-12,14,8-10,14,11-13,14-16,12-14,14,13-16,12-15,13,2-4,1-3,9-12,13-16,2-4,14,5-7,10-13,4-6,5-7,14,2-4,13-15,13,14-16,9-12,1-4,1-2,15-17,2-4,15,9-11,14-16,7-9,13,10,17,8,12-15,14-17,1-2,12-14,8-11,12,10-12,6-9,0.00,-,0.00,0.00,4.18,5.96,0.00,0.00,0.00,0.00,-,21.64,88%,-,0.00,23,0.46,0,77%,32,75,0.80,0.34,0.00,20%,0.00,Ligue 1 Uber Eats,Shot Stopper,Goalkeeper,Scouting Required,-,-,1.46,-,-,-,-,0.00,-,-,-,25.23,-,-,0.00,2,Int,- -  - 
Pavel Kadeřábek,D/WB (R),33,CZE,"6'0""",169 lbs,,TSG Hoffenheim,£200K - £2M,6.88,0,0,-,0.16,17%,0.03,0.31,0.19,29.57,84%,1.00,13,235,13%,2.59,81%,4,3.09,55,69,4.13,2.54,62%,0,2.09,33,8.1mi,6,0,5,41,"3,403",6,7,0,83.00,1,156,31,308.1mi,79,96,117,38,"1,333","1,118",121,98,30/6/2025,"£23,000 p/w",Right,9-12,1-4,10-13,10-13,13-16,13-17,13-17,1-3,1-3,8-12,11-15,5-9,12-15,11-14,16,11-14,1-4,6-10,11,9-13,5-9,1,14,13,3-6,9-12,10-13,13-17,12,9-12,15-18,1-5,9-12,8-11,8-11,13,2-5,1-4,1-4,14-17,10,12,13-16,10-13,1-4,9-12,16-19,0.26,0.95,0.05,17.16,10.31,17.72,12.43,2.72,3.17,0.18,36,-,-,-,1.00,-,-,38,-,-,-,-,-,0.01,-,0.31,Bundesliga,Leader,Attacking full back,Scouting Required,0,0.34,1.45,6.22,0.82,0,1.59,0.11,13%,6.22,0.82,35.25,0.56,0.05,0.01,-,,- -  - 
Jon Moncayola,"DM, M (C)",27,ESP,"5'11""",160 lbs,,Osasuna,£12.5M - £19.5M,6.91,2,0,-,0.52,44%,0.23,2.10,0.20,40.42,88%,1.28,13,32,31%,2.06,76%,0,1.42,15,36,3.77,2.06,55%,0,0.87,17,7.9mi,3,2,3,38,"3,102",18,7,0,81.63,8,130,10,271.2mi,30,71,49,44,"1,586","1,393",93,71,30/6/2028,"£14,250 p/w",Right,13-16,1-2,13-16,9-13,12-16,12-16,15-19,1-4,1-3,9-13,13-16,9-12,9-12,11-14,12-16,6-10,1-3,9-13,12,8-11,8-12,1-4,8-11,10-13,1-2,12-15,14-17,4-8,7-10,14-17,9-13,1-4,10-13,13-16,9-13,13-17,1-4,1-5,1-3,15-18,12-16,13,13-16,13-16,1-3,11-14,14-17,0.29,0.29,0.12,12.21,13.38,13.87,11.55,3.25,3.71,0.22,10,-,-,11%,1.28,-,-,44,-,-,-,-,-,0.06,-,2.10,LaLiga EA Sports,Leader,Defensive midfielder,Scouting Required,2,0.38,0.44,0.93,0.29,0,1.71,0.00,31%,0.93,0.29,46.02,0.03,0.20,0.06,-,,- -  - 
Odysseas Vlachodimos,GK,31,GRE,"6'2""",167 lbs,,Newcastle United,£5.2M - £8.2M,7.32,0,0,-,-,-,-,0.00,-,20.52,80%,-,0,-,-,-,-,0,-,-,0,-,-,-,0,-,2,4.7mi,0,0,0,6,500,0,0,0,83.33,-,-,-,25.8mi,0,-,0,0,142,114,0,-,30/6/2026,"£40,000 p/w",Right,11-15,13,10-14,13-16,8-11,12-15,10-13,8,9-12,10-13,10-14,1-3,1-5,11-14,12-15,1,4,2-5,7-10,1-5,1-4,15,6-10,11-15,12,9-13,1-4,1-4,1-3,13-17,1-3,14,10-14,8-12,1-3,14-17,13,18,7,10-13,11-14,1-3,11-15,6-9,13,8-12,11-14,0.00,-,0.00,0.00,3.42,9.00,0.00,0.00,0.00,0.00,-,2.60,92%,-,0.00,1,0.47,0,86%,4,8,0.36,0.72,0.00,-,0.00,Premier League,Shot Stopper,Capable goalkeeper,Scouting Required,-,-,6.66,-,-,-,-,0.00,-,-,-,25.56,-,-,0.00,2,Wnt,- -  - 
Chidera Ejuke,AM (RL),27,NGA,"5'9""",158 lbs,,Sevilla,£150K - £9M,6.95,5,0,-,2.47,45%,1.12,3.34,0.22,27.06,83%,0.75,3,38,13%,2.39,86%,1,1.05,9,9,6.20,1.94,31%,0,2.69,21,7.9mi,0,0,1,9 (26),"1,204",33,3,0,34.40,15,83,5,105.5mi,36,26,14,10,437,362,37,32,30/6/2026,"£24,500 p/w",Right,12-16,1-3,7-11,14-17,8-11,12-15,11-14,1-5,1-3,9-12,10-13,10-13,9-13,10-14,9-12,15-18,1-4,10-13,9-12,18-20,7-10,2-6,9,9,1-2,4-8,11-15,3-6,7-10,10-14,10-13,3-6,12-16,10-14,8-11,8-11,1-4,1-3,1-3,11-15,9-12,4-8,9-13,14-18,1,9-13,10-14,0.00,0.52,0.10,14.58,3.66,16.15,10.91,2.77,1.79,0.30,7,-,-,15%,0.75,-,-,10,-,-,-,-,-,0.25,-,3.34,LaLiga EA Sports,Physical,Winger,Scouting Required,0,0.22,0.67,2.84,0.37,3,4.26,0.07,13%,2.84,0.37,32.67,0.00,0.82,0.25,-,,- -  - 
Aitor Fernández,GK,34,ESP,"6'0""",165 lbs,,Osasuna,£4.3M - £5.6M,6.76,0,0,-,-,-,-,0.00,-,25.71,89%,-,0,-,-,0.03,25%,0,-,-,0,-,-,-,0,-,11,3.9mi,0,0,0,34 (1),"3,102",0,0,0,88.63,-,-,-,132.8mi,0,-,0,0,991,886,4,1,30/6/2025,"£16,500 p/w",Right,7-11,13-16,9-13,11-15,13-17,8-11,9-12,13,12-15,11-14,13-16,3-6,1-4,12-16,12-15,1-4,4-7,1-2,8-11,2-5,4-7,13,9-12,11-14,12-16,6-10,1-5,1-3,1-3,11-15,2-6,15-18,10-13,8-12,2-6,10-13,6-10,13-16,14-17,8-12,6-9,1-4,14-17,8-12,12-15,9-12,10-14,0.00,-,0.00,0.00,3.68,7.34,0.00,0.00,0.00,0.00,-,3.75,89%,-,0.00,25,0.11,0,76%,32,79,1.25,0.20,0.00,25%,0.00,LaLiga EA Sports,Assertive,Experienced goalkeeper,Scouting Required,-,-,0.93,-,-,-,-,0.00,-,-,-,28.75,-,-,0.00,3,,- -  - 
Adam Hložek,"AM (RLC), ST (C)",22,CZE,"6'2""",185 lbs,,TSG Hoffenheim,£21M - £34M,6.72,5,1,100%,3.10,44%,1.37,5.01,0.07,17.83,87%,0.65,1,9,22%,1.30,72%,0,0.51,3,12,6.57,2.60,40%,0,0.65,29,7.2mi,0,0,2,10 (27),"1,247",43,1,1,33.70,19,91,2,100.3mi,9,36,7,9,285,247,25,18,30/6/2027,"£33,000 p/w",Right,14,1-3,10-14,10-13,9-12,13-16,11-14,3-7,1-3,9-12,11-14,11-14,8-12,11-15,9-12,12-15,2-5,12,12,13-16,12-15,1-3,13,13,1-3,6-10,11-15,5-8,6-9,10-14,10-13,1-4,15,12,10-13,6-9,1-4,1-4,1-3,11-15,14,4-8,8-12,12-16,1-3,9-13,10-14,0.22,0.14,0.12,6.21,1.15,19.99,6.93,1.80,0.79,0.14,2,-,-,12%,0.65,-,-,9,-,-,-,-,-,0.36,-,5.01,Bundesliga,Physical,Striker,Scouting Required,1,0.07,0.22,0.65,0.14,1,3.97,0.00,22%,0.65,0.14,20.57,0.00,0.79,0.36,-,Int,- -  - 
Tuta,D (RC),25,BRA,"6'1""",165 lbs,,Eintracht Frankfurt,£4.8M - £7.6M,6.97,1,0,-,0.29,20%,0.06,0.99,-,59.47,92%,0.32,3,4,-,1.36,81%,13,1.80,40,16,6.04,3.77,62%,0,0.15,11,7.2mi,6,0,0,34 (1),"3,054",10,0,0,87.26,2,205,0,242.9mi,5,128,61,11,"2,184","2,018",57,46,30/6/2028,"£35,000 p/w",Right,12-15,1,14-17,9-13,11-15,13-17,14-18,2-5,1-3,10-14,11-14,2-5,8-11,12-15,14,8-12,1-2,6-10,12,6-9,4-8,1-4,13,14,1-2,11-14,7-10,11-15,14,13-16,6-10,1-2,12-15,11-14,6-10,13,2-5,2-6,1-3,14-17,13,15,12-15,12-15,1-4,8-11,14-17,0.47,0.80,0.10,5.83,13.79,3.24,3.12,1.12,4.54,0.06,27,-,-,10%,0.32,-,-,11,-,-,-,-,-,0.03,-,0.99,Bundesliga,Leader,Center back,Scouting Required,0,0.09,1.18,0.12,0.00,0,2.27,0.38,0%,0.12,0.00,64.36,0.65,0.15,0.03,-,,- -  - 
Antoine Semenyo,"M (R), AM (RL), ST (C)",25,GHA,"5'10""",138 lbs,,Bournemouth,£11M,6.68,0,0,-,2.18,15%,0.34,1.11,0.17,30.39,85%,1.01,0,17,17%,1.01,67%,0,1.68,3,11,5.21,2.18,42%,0,3.53,6,7.0mi,4,0,2,4 (13),536,13,1,0,31.53,2,31,3,41.7mi,21,13,10,6,213,181,9,6,30/6/2028,"£45,000 p/w",Right,16,1-3,12-15,15-18,10-13,11-15,9-13,1-3,1-3,11-15,7-11,6-10,8-11,9-12,9-13,15-18,1-5,13,12,16-20,5-9,1-3,9,9,2-5,5-8,11,1-5,4-8,13-16,14-17,2-6,16,11,10-13,5-9,3-6,1-3,1-2,10-13,14,5-8,7-10,12,1-2,11-14,11-14,0.00,0.34,0.09,12.26,2.69,21.32,12.76,2.01,2.35,0.04,2,-,-,-,1.01,-,-,6,-,-,-,-,-,0.19,-,1.11,Premier League,Physical,Attacking midfielder,Scouting Required,0,-,0.50,2.85,0.50,1,3.02,0.00,18%,2.85,0.50,35.76,0.00,0.67,0.19,-,Int,- -  - 
Grigoris Kastanos,M/AM (RC),27,CYP,"5'10""",156 lbs,,Hellas Verona,£9.8M - £16M,7.07,3,0,-,1.06,36%,0.38,4.73,0.19,39.60,89%,2.23,13,53,15%,1.69,65%,5,1.58,31,32,2.59,0.52,20%,0,1.25,22,7.6mi,4,0,6,39,"3,307",39,7,0,84.79,14,95,8,279.9mi,46,19,58,82,"1,641","1,455",96,62,30/6/2025,"£3,100 p/w",Left,11-18,-,11-18,9-14,-,14-19,11-16,-,-,11-16,-,-,10-17,10-15,14-19,8-13,-,11-16,12-17,9-16,-,-,2-8,1-8,-,8-15,10-15,-,-,13-20,9-14,-,10-16,12-19,5-10,-,-,-,-,12-17,8-13,-,9-15,12-17,-,12-18,11-16,0.05,0.35,0.12,11.78,11.21,13.74,11.43,2.94,3.57,0.21,13,-,-,8%,1.55,-,-,57,-,-,-,-,-,0.13,-,4.73,Serie A TIM,Technical,Attacking midfielder,Scouting Required,2,0.35,0.84,1.44,0.22,0,2.07,0.14,15%,0.71,0.11,44.66,0.00,0.30,0.13,-,Int,- -  - 
