Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Nuno Fangueiro,GK,33,POR,"6'3""",185 lbs,,Mjällby AIF,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/11/2040,"£1,600 p/w",Unknown,-,12-17,-,12-18,-,-,-,11-16,-,-,10-18,-,-,-,-,-,5-13,-,-,-,-,7-13,-,-,11-17,-,-,-,-,-,-,10-18,-,-,-,10-16,9-14,9-15,3-8,-,-,-,-,-,5-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Allsvenskan,Assertive,Goalkeeper,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Paulo Vieira,"AM (R), ST (C)",33,POR,"5'7""",147 lbs,,Arouca,£500 - £7K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,£875 p/w,Right,12-18,1-4,8-14,13-17,7-11,14-18,13-17,1-3,1-4,11-15,1-7,1-6,5-11,10-14,10-14,9-13,1-5,14-18,9-13,10-16,1-5,1-7,5-9,1-5,1-3,8-14,4-8,1-3,1-5,11-17,7-11,1-4,12-16,6-12,1-2,3-7,1-4,1-5,1-5,9-13,7-11,1-3,7-11,12-16,2-6,5-9,7-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Liga Portugal 2 SABSEG,Physical,Forward,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Tiago Pinho,M/AM (L),33,POR,"5'7""",141 lbs,,Südtirol,£80K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£3,800 p/w",Left,11,1-2,8-12,15-18,10-13,12-15,6-9,1-4,1-3,9-12,9-12,5-8,10-14,8-12,9-12,11-14,3-6,5-8,13,15-18,2-5,1-4,9,2,1-2,9-13,6-10,1-3,5-8,15-19,10-13,1-4,13,11-15,2-5,4-7,2-6,1-4,1-3,9-13,2-5,1-4,5-9,14-18,1-2,8-12,10-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Serie BKT,Technical,Experienced winger,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lst,- -  - 
Eugénio Victoria,"DM, M (C)",33,POL,"5'10""",165 lbs,,Raków,£300K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£6,000 p/w",Right,10-14,-,8-12,7-13,-,13-19,11-17,-,-,10-14,7-11,-,4-8,-,12-16,1-7,-,4-10,12-16,7-11,-,-,1-3,7-11,-,7-11,8-12,-,-,5-9,8-14,-,5-9,11-15,-,9-15,-,-,-,12-16,9-13,7-11,6-10,15-19,-,10-14,10-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Intelligent,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lst,- -  - 
José Pedro Balegas,M (C),32,POR,"6'0""",171 lbs,,Tondela,£30K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£1,100 p/w",Right,7-11,1-5,10-14,8-12,11-15,13-17,5-9,1-5,1-2,12-16,8-12,5-9,1-4,11-17,11-15,7-11,2-6,2-6,9-13,13-17,4-8,1-5,2-8,13-17,1-3,5-9,6-12,1,10-14,11-15,6-10,1-5,4-10,15-19,1-5,8-12,1-5,1-4,1-3,7-13,6-10,4-10,3-9,11-17,1,12-18,7-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Liga Portugal 2 SABSEG,Intelligent,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Brayam Quiroz,"D (RLC), WB (L)",32,MEX,"6'0""",169 lbs,,Cruz Azul,£80K - £800K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£10,250 p/w",Right,9-12,1-3,5-8,13-16,12-15,10-14,13-17,2-5,1-3,4-8,14-18,1-4,2-5,12-15,12-16,5-8,1-4,1-5,5-9,8-12,1-3,1-3,10,13,4-7,6-9,6-9,3-7,12,11-14,3-6,1-4,12-15,5-8,6-9,15,1-3,1-5,1-3,13-16,9-13,13,10-13,9-12,1-2,7-10,7-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Liga BBVA MX,Physical,Experienced center back,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Luis Rolando Banda,D (LC),33,MEX,"6'2""",180 lbs,,Cruz Azul,£120K - £1.2M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/2041,"£9,750 p/w",Left,7-10,1-5,8-11,9-12,13-16,12-16,13-17,1-2,3-6,7-10,13-17,4-8,8-11,9-12,15-18,5-8,1-3,1-3,6-9,7-11,3-7,1-4,12,16,1-3,4-7,5-8,8-11,13,10-13,7-10,1-4,12-16,4-7,3-6,13,1-3,1-2,1-5,7-10,11-14,13,7-11,4-7,4-7,9-13,8-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Liga BBVA MX,Physical,Experienced center back,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Martín Palma,M/AM (C),31,ARG,"5'9""",154 lbs,,St Johnstone,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/5/2042,"£3,600 p/w",Unknown,6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9-14,-,4-12,16-20,-,-,-,4-12,1-7,-,-,7-13,-,-,-,12-17,-,7-15,10-15,-,-,-,-,-,-,6-12,-,-,10-16,-,-,4-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cinch Premiership,Leader,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Alain Mendieta,D (RC),32,MEX,"6'0""",171 lbs,,Pachuca,£26K - £250K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/2041,"£8,500 p/w",Right,10-14,3-6,6-10,10-14,12-16,12-15,13-16,1-5,1-3,8-11,14-17,1-4,4-8,13-17,13-16,5-9,1-3,1,5-8,5-8,1,1-4,9,12,1-4,7-11,3-7,2-5,12,9-13,4-8,2-5,11-14,4-8,1-5,14,1-3,1-2,2-5,10-14,9-12,13,10-13,8-12,1-2,8-11,10-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Liga BBVA MX,Intelligent,Experienced center back,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Piotr Nowak,M/AM (L),33,POL,"5'11""",160 lbs,,Stal St. Wola,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£1,300 p/w",Unknown,9-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5-10,-,1-6,11-17,-,-,-,2-10,9-15,-,-,1-6,-,-,-,8-13,-,9-17,7-12,-,-,-,-,-,-,8-14,-,-,7-13,-,-,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Physical,Winger,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Piotr Fiedorowicz,M/AM (L),32,POL,"5'9""",154 lbs,,Raków,£120K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£10,750 p/w",Left,11-15,-,4-8,19-20,-,8-12,10-14,-,-,5-11,4-10,-,8-12,10-14,12-18,9-13,-,6-10,6-12,12-18,-,-,5-9,1-6,-,5-9,2-6,-,-,11-15,11-15,-,12-16,7-11,3-7,-,-,-,-,13-17,6-12,-,5-9,10-14,-,5-9,9-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Physical,Winger,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Inj,- -  - 
Ondřej Huf,"D (RC), WB (R)",30,CZE,"6'0""",167 lbs,,RKC,£90K - £900K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2042,"£1,600 p/w",Right,8-12,2-5,9-13,11-15,13-17,11-14,15-18,1-4,1-3,4-7,14-17,1-4,6-10,12-16,13-16,4-8,2-5,1-4,6-9,6-9,1,1-4,5,13,3-7,11-15,2-6,1-2,12,12-16,2-6,1-4,12-15,9-13,1-4,13,1-3,1-4,2-5,12-16,9-12,12,13-16,9-13,1-4,7-10,10-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keuken Kampioen Divisie,Leader,Fullback,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Marvin Mukendi,"D (RC), WB (R)",33,BEL,"5'10""",160 lbs,,Empoli,£60K - £600K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£13,500 p/w",Right,9-12,1-5,13-16,9-12,12-15,10-14,14-18,1,2-5,12-15,12-16,5-9,12-15,11-14,14-17,9-12,1-5,3-7,10-13,9-13,1-5,2-5,8,12,2-5,11-14,3-6,7-10,12,11-14,8-11,1-5,8-12,10-13,2-5,12,1,1-4,1-4,6-9,10-13,12,11-15,11-14,2-5,9-13,7-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Serie BKT,Intelligent,Experienced full back,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Piotr Samiec,M/AM (L),32,POL,"6'0""",169 lbs,,MVV Maastricht,£3K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,£400 p/w,Left,10-16,-,2-8,13-19,6-12,6-10,4-8,-,-,5-9,2-6,3-7,9-15,9-13,13-17,5-11,-,2-6,10-14,11-15,1-5,-,7-11,12-16,-,1-7,5-9,-,-,9-15,9-15,-,11-15,7-13,1-6,-,-,-,-,11-15,7-11,3-7,8-12,6-10,-,10-14,10-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keuken Kampioen Divisie,Physical,Winger,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lst,- -  - 
Jarosław Stachowiak,"D (RLC), DM",32,POL,"6'3""",189 lbs,,Cracovia,£250K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2042,"£5,250 p/w",Right,8-12,-,12-16,9-13,10-14,4-10,13-19,-,-,8-12,12-16,-,-,8-12,11-15,4-8,-,-,3-7,-,-,-,8-14,13-17,-,9-13,1-3,-,11-15,10-14,4-8,-,8-14,3-7,-,9-15,-,-,-,7-11,13-17,10-16,4-10,5-9,-,5-11,4-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Physical,Center back,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Piotr Tomaszewski,D (RL),32,POL,"5'10""",160 lbs,,Ruch,£14K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,£675 p/w,Unknown,6-14,-,-,-,12-20,-,-,-,-,-,-,-,-,10-16,13-18,-,-,-,6-11,-,-,-,5-11,5-10,-,-,-,-,10-15,-,-,-,14-20,4-12,-,5-11,-,-,-,-,7-12,13-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Intelligent,Fullback,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lst,- -  - 
Adrian Rogalski,"DM, M (C)",32,POL,"6'0""",174 lbs,,GKS Jastrzębie,£20K - £200K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£1,500 p/w",Right,9-13,-,4-8,9-13,-,11-15,9-13,-,-,7-11,15-19,-,3-7,-,11-15,4-8,-,1-3,4-8,8-12,-,-,2-8,14-18,-,15-19,4-10,-,-,12-16,7-11,-,6-12,10-14,-,10-14,-,-,-,10-16,8-12,5-11,7-13,9-15,-,11-17,11-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Physical,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Salvador Cláudio,"AM (R), ST (C)",33,POR,"5'9""",152 lbs,,Rosenborg,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/2040,"£3,400 p/w",Unknown,13-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9-15,-,13-18,14-20,-,-,-,4-9,1-6,-,-,2-10,-,-,-,11-17,-,10-15,13-19,-,-,-,-,-,-,7-15,-,-,8-16,-,-,5-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eliteserien,Technical,Winger,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Petr Kočí,ST (C),32,CZE,"5'9""",156 lbs,,Fredrikstad,£60K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/2040,"£1,700 p/w",Unknown,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7-15,-,8-14,9-14,-,-,-,11-17,2-7,-,-,2-8,-,-,-,12-20,-,15-20,1-9,-,-,-,-,-,-,8-13,-,-,12-18,-,-,9-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eliteserien,Physical,Forward,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bid,- -  - 
Saša Kostić,D (L),33,SRB,"5'1""",130 lbs,,Radnički,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2042,£170 p/w,Unknown,6-14,-,-,-,7-13,-,-,-,-,-,-,-,-,9-14,8-13,-,-,-,5-10,-,-,-,1-7,1-7,-,-,-,-,7-15,-,-,-,7-13,4-12,-,14-20,-,-,-,-,5-10,10-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozzart Super Liga,Intelligent,Fullback,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Ilias Xydas,"DM, M (C)",32,GRE,"5'8""",154 lbs,,IFK Göteborg,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/11/2040,"£6,750 p/w",Unknown,-,-,2-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7-15,10-18,-,-,6-11,2-10,-,-,7-12,-,-,-,-,-,-,9-15,-,-,-,-,-,8-13,4-12,3-8,9-14,-,-,12-17,10-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Allsvenskan,Intelligent,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Carlos Vargas,"DM, M/AM (C)",33,ESP,"6'0""",167 lbs,,Polonia Warszawa,£16K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£2,500 p/w",Right,9-11,-,11-13,10-13,10-13,9-12,15-18,-,-,14-16,9-11,7-9,4-6,15-17,14-16,6-9,-,10-13,13-15,14-16,8-11,-,5-7,11-13,-,14-16,8-10,-,-,10-12,11-14,-,8-10,12-14,1-4,-,-,-,-,11-13,5-7,4-6,8-10,13-15,-,12-14,11-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PKO Bank Polski Ekstraklasa,Intelligent,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Mouhamadou Guèye,"AM (C), ST (C)",32,SEN,"5'9""",154 lbs,,Ibiza,£2K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,£850 p/w,Left,5-11,-,3-9,7-13,10-16,8-12,4-8,-,-,15-19,4-8,-,2-8,13-17,11-15,7-13,-,7-11,11-15,13-17,1,-,4-8,5-9,-,9-15,6-10,-,-,9-15,11-17,-,10-14,9-15,1-5,-,-,-,-,6-10,5-9,1-5,5-9,10-14,-,14-18,4-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LaLiga 2 Hypermotion,Intelligent,Midfielder,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lst,- -  - 
Juan Carlos Ortuño,GK,34,ESP,"6'8""",200 lbs,,NK Lokomotiva,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2042,"£2,400 p/w",Unknown,-,16-20,-,7-12,-,-,-,9-15,-,-,10-16,-,-,-,-,-,1-5,-,-,-,-,10-15,-,-,10-15,-,-,-,-,-,-,10-16,-,-,-,7-15,1-6,7-15,4-12,-,-,-,-,-,13-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SuperSport HNL,Distributor,Goalkeeper,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Jonathan Amaro,GK,32,FRA,"6'1""",169 lbs,,West Brom,£140K - £400K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£13,000 p/w",Right,5-8,12-15,10-13,14-17,12-15,11-15,12-16,13,9-13,4-8,9-13,2-6,1-2,13-16,12-16,1-4,1-5,1-3,2-6,1-5,1-5,13,1-2,14-18,8,5-8,1-3,1-2,2-6,6-9,3-6,13-17,6-9,5-8,2-5,10-14,15,13-17,6-9,6-9,4-8,1-4,10-13,8-11,13,11-14,7-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sky Bet Championship,Shot Stopper,Experienced goalkeeper,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Daniel Toledano,D/WB (L),28,SCO,"5'10""",158 lbs,Ambitious,Fulham,£13M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2042,"£28,500 p/w",Left Only,15,3,8,13,14,18,8,1,3,8,15,5,13,15,15,10,2,5,11,8,4,1,8,5,2,14,5,6,12,14,7,1,15,11,6,14,3,4,1,16,12,16,11,9,2,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sky Bet Championship,Physical,Fullback,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Erick Morán,"D (RL), WB (R)",33,PER,"6'0""",169 lbs,,Atlético Goianiense,£22K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/2040,"£9,750 p/w",Right,11-14,1-4,10-13,9-13,10-14,7-10,7-10,1-5,2-6,9-13,11-14,1-3,9-12,13-17,11-15,3-7,1-2,1-4,10-14,5-8,1-3,3-6,7,14,1-4,8-11,1-4,3-7,12,14-17,7-11,1-3,9-12,10-13,1-3,12,1-4,1-3,2-5,9-13,8-12,13,11-14,10-14,3-7,10-13,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campeonato Brasileiro Série B,Intelligent,Experienced full back,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Joshua Lebreton,GK,29,FRA,"5'11""",158 lbs,,Norwich City,£70K - £210K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£11,000 p/w",Right,11-15,11-15,13-17,9-12,7-10,9-12,12-15,12,8-11,6-9,8-12,1-4,1-5,10-13,14-17,1-2,1-2,1-4,2-5,1-4,3-6,15,1-3,10-14,13,7-11,1-2,2-5,1-2,16-20,1-2,8-12,9-13,4-8,1,13-16,8,9-12,8-12,9-12,8-11,1-4,5-9,4-7,10,2-6,8-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sky Bet Championship,Assertive,Goalkeeper,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
Solomon Zakari,"DM, AM (RL), ST (C)",27,ENG,"6'2""",180 lbs,,QPR,£24K - £250K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2041,"£2,100 p/w",Right,10,1-4,9-13,10-13,9-12,11-14,8-11,2-5,1-4,15-18,4-8,5-9,11-15,11-14,14-17,11-14,1-4,12-15,12,12-16,7-10,2-6,10,14,1-2,12-16,5-8,3-6,1-3,13-17,10-13,1-4,12,10-14,6-9,5-8,1-3,2-5,1-5,8-11,11-14,3-7,9-13,14-17,1-3,10-14,8-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sky Bet Championship,Technical,Striker,Scouting Required,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- -  - 
