Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,xG,Pens S,Pen/R,Shot/90,Shot %,ShT/90,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Olaf Rudol,AM (LC),23,POL,"5'7""",152 lbs,,Ruch,Unknown,6.81,4,3.21,0,-,1.04,33%,0.35,0.07,39.15,85%,1.38,14,76,18%,2.32,86%,2,1.66,18,15,3.36,0.38,11%,0,1.97,38,8.2mi,2,0,6,29 (7),"2,600",30,2,0,72.22,10,97,15,237.6mi,57,11,48,40,"1,326","1,131",78,67,30/6/2033,"£2,700 p/w",Unknown,9-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-16,10-16,-,-,-,1-7,1-4,-,-,11-17,-,-,-,8-16,-,7-13,11-16,-,-,-,-,-,-,7-13,-,-,16-20,-,-,13-19,0.03,0.45,0.11,11.60,6.23,12.15,11.49,3.43,3.12,0.17,13,-,-,13%,0.93,-,-,27,-,-,-,-,-,0.11,-,3.21,PKO Bank Polski Ekstraklasa,Creative,Winger,Scouting Required,7,0.48,0.62,2.63,0.52,1,2.98,0.07,20%,1.28,0.24,45.90,0.17,0.76,0.11,-,Wnt,- -  - 
Floris Bos,D (LC),25,NED,"6'3""",182 lbs,,PEC Zwolle,£4M - £8M,6.86,1,1.48,0,-,0.39,43%,0.17,0.03,40.71,90%,0.14,2,5,-,1.35,84%,11,1.78,95,9,6.63,4.99,75%,0,-,6,6.9mi,1,0,0,35 (1),"3,190",14,1,0,88.61,6,235,0,244.6mi,0,177,63,5,"1,606","1,443",57,48,30/6/2034,"£8,000 p/w",Left,12-15,3-7,4-7,13-16,12-15,9-13,7-11,1-4,1-4,10-13,13-17,2-6,4-7,11-14,15-18,6-9,1-5,1-4,8-11,6-10,1-2,1-2,15,15,3-6,10-13,2-5,9-12,12-16,12-15,8-11,2-6,14-18,7-10,1-3,10-14,1-2,1-3,1-4,11-14,12-15,13,6-10,5-8,3-6,4-8,6-9,0.68,0.56,0.11,4.77,11.12,5.33,2.71,0.96,2.51,0.02,20,-,-,7%,0.14,-,-,5,-,-,-,-,-,0.04,-,1.48,Eredivisie,Physical,Center back,Scouting Required,0,0.06,2.68,0.14,0.00,0,1.64,0.31,0%,0.14,0.00,45.31,0.42,0.03,0.04,-,,- -  - 
Krystian Okoniewski,"AM (R), ST (C)",27,POL,"6'2""",182 lbs,,Lechia,£180K - £1.8M,6.94,10,6.87,1,100%,2.40,42%,1.02,0.16,30.41,82%,1.42,12,80,7%,1.99,79%,0,1.47,10,40,11.07,5.29,48%,0,2.08,51,8.2mi,1,0,20,24 (12),"2,211",59,4,1,61.42,25,272,6,201.1mi,51,130,36,35,914,747,62,49,30/6/2033,"£17,250 p/w",Left,9-14,-,6-11,12-17,-,7-13,12-18,-,-,9-16,-,-,5-10,11-16,10-17,12-17,-,10-16,8-15,7-14,-,-,7-12,12-19,-,3-8,6-11,-,-,9-14,10-15,-,10-15,4-9,9-14,-,-,-,-,9-14,9-16,-,8-13,9-14,-,7-12,10-15,0.08,0.28,0.12,13.72,7.08,13.15,11.36,2.77,2.24,0.18,7,-,-,17%,1.42,-,-,35,-,-,-,-,-,0.25,-,6.08,PKO Bank Polski Ekstraklasa,Physical,Winger,Scouting Required,0,0.49,0.41,3.26,0.24,1,5.78,0.00,8%,3.13,0.24,37.20,0.00,0.65,0.28,-,,- -  - 
Wisdom Amey,D (RLC),26,ITA,"6'0""",187 lbs,,Bologna,£21M - £33M,6.91,1,1.33,0,-,0.61,36%,0.22,-,47.96,89%,0.25,0,5,-,1.36,72%,10,1.61,67,23,6.57,4.63,70%,2,0.08,3,7.2mi,1,0,0,36,"3,248",22,0,0,90.22,8,237,0,259.4mi,3,167,58,9,"1,948","1,731",68,49,30/6/2035,"£51,000 p/w",Right,13-16,1-5,13-16,13-16,16-19,13-17,8-12,1,2-5,12-15,13-17,2-6,6-9,10-13,15-18,9-12,1-3,3-7,12-15,7-11,1-4,1-4,14,14,1-3,9-12,3-6,13-16,14,12-15,11-14,1-4,16-20,8-11,4-7,12-16,1-3,1-3,2-6,13-16,15-18,13,9-13,7-10,1-4,10-14,7-10,0.64,0.78,0.06,3.77,11.64,6.68,3.13,0.86,4.99,0.02,28,-,-,5%,0.25,-,-,9,-,-,-,-,-,0.04,-,1.33,Serie A TIM,Physical,Center back,Scouting Required,0,-,1.86,0.14,0.00,0,1.94,0.28,0%,0.14,0.00,53.98,0.64,0.14,0.04,-,Wnt,- -  - 
Nik Prelec,"AM (RL), ST (C)",31,SVN,"6'1""",174 lbs,,Cagliari,Not for Sale,7.06,13,9.05,0,-,1.57,56%,0.88,0.20,25.76,84%,0.78,11,24,16%,1.60,67%,1,1.01,17,18,9.91,5.33,54%,1,1.44,51,7.9mi,0,0,8,36,"2,753",48,6,0,76.47,27,303,3,241.3mi,44,163,31,24,935,788,73,49,30/6/2033,"£58,000 p/w",Left,13,1-2,8-12,11-14,10-13,11-14,9-12,2-6,1-2,9-12,12-15,10-13,10-14,12-16,11-14,9-12,3-6,12-15,10-13,11-14,9-12,1-4,12,16,1-2,8-12,10-14,5-8,8-11,11-15,11-14,2-5,13,12-16,9-12,11-14,1-5,1-3,1-4,12-16,11-14,8-12,9-13,13-17,1-3,10-14,12-16,0.03,0.29,0.19,8.04,4.51,9.64,8.76,1.80,1.37,0.11,9,-,-,27%,0.78,-,-,24,-,-,-,-,-,0.30,-,9.05,Serie A TIM,Physical,Striker,Scouting Required,2,0.36,0.56,0.78,0.10,3,4.58,0.03,13%,0.59,0.10,30.57,0.10,0.33,0.30,-,,- -  - 
Timon Vanhoutte,GK,28,BEL,"6'2""",180 lbs,,Royal Charleroi,£1.1M - £2.3M,6.87,0,0.00,0,-,-,-,-,-,10.84,57%,0.03,1,-,-,0.03,50%,1,0.28,-,0,-,-,-,0,-,1,3.8mi,0,0,0,36,"3,270",0,0,0,90.83,-,-,-,137.7mi,0,-,10,1,690,394,2,1,30/6/2033,"£4,300 p/w",Right Only,10-13,12-15,8-11,14-18,13-17,10-14,9-13,13,8-12,9-13,13-16,2-5,1-3,12-15,14-18,1-2,3-6,1-4,8-12,1-3,2-6,12,1,11-14,8,7-10,2-5,1-3,1-3,11-14,1-4,10-13,8-11,11-14,1-4,11-15,13-16,12-16,7-10,7-10,7-11,1,3-6,8-11,12,6-9,9-12,0.00,-,0.00,0.11,4.87,11.17,0.00,0.00,1.57,0.00,-,-0.76,84%,-,0.03,22,-0.02,1,77%,61,62,1.40,0.25,0.00,50%,0.00,Jupiler Pro League,Shot Stopper,Goalkeeper,Scouting Required,-,0.03,8.53,-,-,-,-,0.03,-,-,-,18.99,-,-,0.00,3,Wnt,- -  - 
Ryan Gravenberch,"DM, M/AM (C)",30,NED,"6'3""",169 lbs,Fairly Determined,Ajax,£56M - £68M,7.34,9,5.96,0,0%,2.34,53%,1.25,0.44,54.48,86%,3.26,26,114,34%,1.77,83%,2,1.01,11,12,5.68,3.62,64%,0,2.34,36,8.4mi,1,0,3,26 (10),"2,235",58,11,1,62.08,31,141,36,207.7mi,58,90,25,81,"1,575","1,353",53,44,30/6/2034,"£80,000 p/w",Right,13,3-5,11,15-18,13-16,14,11-13,1-2,1-2,14-16,11-13,12-14,13,13-15,15,13,2-4,10,15,16,12-14,1-2,12,16,1-4,9,13,5-7,9-11,13,13-16,1-3,13,15,10-13,12,1-3,1-2,3-5,14,13,12,12,16,1-2,15,12,0.60,0.20,0.10,13.37,7.37,13.09,9.95,3.14,6.93,0.36,5,-,-,16%,2.21,-,-,55,-,-,-,-,-,0.21,-,5.16,Eredivisie,Technical,Midfielder,Level-headed,9,1.05,0.44,4.59,1.45,5,2.05,0.08,32%,1.53,0.52,63.42,0.08,1.33,0.24,-,,- -  - 
Rico Lewis,"D/WB (R), DM, M (C)",27,ENG,"5'7""",147 lbs,Resolute,Manchester City,£135M - £158M,6.98,2,2.53,0,-,0.69,29%,0.20,0.09,58.18,89%,1.23,15,56,22%,2.92,80%,5,2.87,27,42,3.67,1.89,52%,0,2.24,19,8.6mi,6,0,1,34 (2),"3,140",24,3,0,87.22,7,128,12,298.8mi,78,66,100,43,"2,281","2,030",127,102,30/6/2034,"£325,000 p/w",Right,16,3,15,17,14,15,16,1,4,15,15,4,13,16,17,14,1,7,14,13,7,1,12,7,1,15,7,12,13,15,13,3,15,16,12,17,2,2,1,17,14,13,12,12,4,14,16,0.14,0.69,0.11,13.50,12.90,10.52,9.95,3.04,10.63,0.14,24,-,-,8%,1.23,-,-,43,-,-,-,-,-,0.07,-,2.53,Premier League,Intelligent,Attacking full back,Reserved,0,0.43,0.77,1.61,0.34,0,1.78,0.14,21%,1.55,0.34,65.38,0.20,0.49,0.07,-,,- -  - 
Sekou Fofana,D/WB (L),29,CIV,"5'10""",158 lbs,,Thun,£140K - £450K,6.63,0,1.32,0,-,0.46,19%,0.09,0.09,23.53,81%,0.38,1,55,18%,2.17,93%,1,1.04,30,48,1.68,1.21,72%,1,0.38,22,3.0mi,2,0,0,35 (1),"3,113",16,3,0,86.47,3,58,10,103.6mi,13,42,36,13,"1,003",814,81,75,30/6/2032,"£2,900 p/w",Left,13-19,-,5-11,9-13,6-10,11-15,11-15,-,-,8-12,7-13,1-6,9-15,11-15,11-15,5-9,-,-,9-13,6-12,1-5,-,6-10,4-10,-,9-15,4-8,7-11,8-14,12-18,6-10,-,12-16,9-15,-,10-14,-,-,-,9-13,7-11,8-12,9-13,6-10,-,8-12,8-12,0.06,0.49,0.08,3.79,4.16,4.63,3.04,0.78,2.08,0.09,17,-,-,-,0.38,-,-,13,-,-,-,-,-,0.04,-,1.32,Raiffeisen Super League,Physical,Fullback,Scouting Required,0,0.03,0.87,1.59,0.29,0,0.46,0.03,18%,1.59,0.29,29.00,0.09,0.00,0.04,-,,- -  - 
Menno Bergsen,GK,32,NED,"6'0""",163 lbs,,NAC Breda,Not for Sale,6.78,0,0.06,0,-,0.03,0%,0.00,-,5.28,36%,-,0,-,-,0.08,43%,0,0.17,-,0,-,-,-,2,-,0,2.6mi,0,0,0,36,"3,270",1,0,0,90.83,0,-,-,93.8mi,0,-,6,0,532,192,7,3,30/6/2034,"£12,250 p/w",Right Only,9-12,11-14,9-12,12-15,12-15,11-15,10-14,12,9-13,7-11,11-15,2-6,1-3,12-15,9-13,1-4,13-17,1-3,5-9,1-5,1-5,12,1-2,10-14,15,12-15,1-3,1-2,1-5,7-10,1-4,12-16,11-14,8-11,2-5,12-16,5-8,9-13,6-9,10-13,7-11,1-2,8-11,10-13,8-12,8-11,8-11,0.00,-,0.06,0.28,4.32,13.98,0.00,0.00,0.66,0.01,-,-10.34,84%,-,0.00,17,-0.28,0,68%,54,40,1.51,0.17,0.00,43%,0.06,Eredivisie,Distributor,Experienced goalkeeper,Scouting Required,-,-,10.18,-,-,-,-,0.00,-,-,-,14.64,-,-,0.00,3,,- -  - 
Vivaldo Semedo,ST (C),27,ANG,"6'4""",182 lbs,,Burgos,£6.8M,6.90,14,14.27,2,50%,2.60,54%,1.41,0.12,22.40,82%,0.69,10,47,10%,0.90,75%,0,0.96,10,60,15.78,7.57,48%,0,1.35,51,7.9mi,2,0,44,35 (1),"3,006",87,4,4,83.50,47,527,6,262.7mi,45,253,32,23,914,748,40,30,30/6/2034,"£35,500 p/w",Left,10-14,-,4-8,12-16,13-17,10-14,9-13,-,-,10-16,8-14,3-9,6-10,10-14,8-14,12-16,-,14-18,6-12,7-13,5-9,-,8-12,14-20,-,2-6,10-14,1-7,-,10-14,14-18,-,13-17,4-8,11-15,4-8,-,-,-,10-14,9-15,1-5,10-14,10-14,-,8-12,10-14,0.24,0.42,0.16,7.37,4.40,9.94,7.90,1.56,0.60,0.12,14,-,-,16%,0.63,-,-,21,-,-,-,-,-,0.33,-,11.09,LaLiga EA Sports,Physical,Forward,Scouting Required,0,0.30,0.30,1.41,0.18,1,8.20,0.00,13%,1.38,0.15,27.37,0.18,0.42,0.43,-,Wnt,- -  - 
Noah Naujoks,"DM, M/AM (C)",30,NED,"6'0""",178 lbs,,KAS Eupen,£800K - £8M,6.90,6,5.58,1,100%,1.19,51%,0.61,0.17,59.97,88%,1.10,11,20,18%,1.83,78%,1,1.28,19,23,4.75,2.58,54%,0,1.01,26,8.1mi,3,0,2,34 (2),"3,105",41,6,1,86.25,21,164,4,279.1mi,35,89,44,38,"2,350","2,069",81,63,30/6/2034,"£9,000 p/w",Right,10-14,1-4,9-13,11-15,12-16,11-14,9-12,1-3,1-3,9-12,12-15,7-10,6-10,14-18,10-13,9-13,1-4,11-14,13,11-14,6-9,1-3,12-15,12-15,1-4,2-6,9-13,3-6,9-12,10-14,12-16,1-4,12-15,12,5-9,9-12,1-5,1-2,2-5,11-15,13,4,12-15,10-14,2-5,14-17,9-13,0.67,0.26,0.14,9.62,7.22,10.14,10.17,3.07,4.35,0.11,9,-,-,15%,1.04,-,-,36,-,-,-,-,-,0.14,-,4.79,Jupiler Pro League,Intelligent,Defensive midfielder,Scouting Required,7,0.32,0.55,0.58,0.12,4,2.17,0.03,20%,0.46,0.09,68.12,0.14,0.75,0.16,-,Wnt,- -  - 
Rubén Gómez,GK,30,ESP,"6'2""",169 lbs,Determined,Real Betis,£150K - £1.5M,6.80,0,0.00,0,-,-,-,-,-,5.47,39%,-,0,-,-,0.00,0%,0,0.06,-,0,-,-,-,2,-,0,2.7mi,0,0,0,36,"3,190",0,0,0,88.61,-,-,-,94.7mi,0,-,2,0,498,194,4,0,31/5/2032,"£4,000 p/w",Right,12,14,9,9,9,11,15,12,15,12,14,3-5,1-2,14,17-19,2-5,5,1-3,4,1-3,1-3,14,1-3,14,14,13,1-3,1-2,1-3,15-18,2-5,13,14,12,1-3,15,5,14,9,4-6,8,1-3,8-10,3-5,11,10-12,8,0.00,-,0.00,0.08,3.53,12.33,0.00,0.00,0.65,0.00,-,-6.05,83%,-,0.00,19,-0.17,0,72%,57,47,1.69,0.25,0.00,0%,0.00,LaLiga EA Sports,Distributor,Goalkeeper,Media-friendly,-,-,10.38,-,-,-,-,0.00,-,-,-,14.05,-,-,0.00,3,,- -  - 
Antoine Joujou,"AM (RL), ST (C)",29,FRA,"6'2""",187 lbs,,Hellas Verona,£2.8M,6.67,6,4.03,0,-,1.16,49%,0.57,0.12,25.14,83%,0.87,11,91,11%,2.57,79%,2,2.45,43,27,6.27,2.21,35%,0,2.39,39,8.4mi,2,0,10,36,"3,014",39,4,0,83.72,19,210,12,280.2mi,80,74,82,29,"1,016",842,109,86,30/6/2033,"£25,000 p/w",Right,12,2-5,5-9,16-20,10-14,10-13,9-12,1-4,1-3,11-14,7-10,6-9,9-13,8-12,12-15,13-17,2-5,10-13,11-14,11-14,4-7,1-2,8,13,3-7,8-12,5-9,1-4,5-8,10-14,12-16,1-3,14,9-13,8-12,8-11,1-5,1-2,2-5,12-16,12-15,2-5,13-16,11-15,1-3,10-13,10-14,0.15,0.45,0.10,16.07,8.51,12.45,14.42,3.73,2.36,0.12,15,-,-,15%,0.84,-,-,28,-,-,-,-,-,0.12,-,4.03,Serie A TIM,Physical,Winger,Scouting Required,0,0.33,1.28,2.72,0.36,1,4.06,0.06,13%,2.66,0.30,30.34,0.15,0.48,0.12,-,Wnt,- -  - 
Maciej Konefał,D (RC),24,POL,"6'1""",176 lbs,,Lechia,£140K - £1.4M,6.83,1,1.13,0,-,0.58,30%,0.17,-,53.87,92%,0.14,0,3,-,1.27,83%,8,1.70,41,24,8.97,6.78,76%,0,0.03,2,7.1mi,3,1,1,35 (1),"3,119",20,0,0,86.64,6,311,0,246.6mi,1,235,59,5,"2,034","1,867",53,44,30/6/2034,"£17,500 p/w",Right,8-14,-,9-15,10-15,11-16,9-14,14-19,-,-,7-12,14-19,-,-,11-18,8-13,3-8,-,-,3-8,-,-,-,5-12,13-18,-,11-17,2-9,-,13-18,12-18,6-11,-,6-13,8-14,-,11-16,-,-,-,11-18,8-13,7-14,10-17,8-15,-,-,12-19,0.89,0.38,0.06,5.54,13.85,5.25,3.06,1.10,5.14,0.01,13,-,-,5%,0.14,-,-,5,-,-,-,-,-,0.03,-,1.13,PKO Bank Polski Ekstraklasa,Leader,Center back,Scouting Required,0,-,1.18,0.09,0.00,0,2.19,0.23,0%,0.09,0.00,58.69,0.26,0.06,0.03,-,,- -  - 
Zack Russiano,"D (C), DM",23,POR,"6'1""",182 lbs,Professional,Manchester City,£148M - £167M,7.05,2,3.24,0,-,1.34,33%,0.44,0.12,62.30,91%,1.31,14,8,62%,2.03,79%,2,2.12,16,44,3.37,1.63,48%,0,0.64,12,8.3mi,7,0,0,36,"3,096",46,4,0,86.00,15,116,5,287.1mi,22,56,73,45,"2,351","2,143",89,70,30/6/2034,"£150,000 p/w",Right,15,1-2,16,12-15,16-19,13,14-17,3-5,1-3,13-15,17-19,7-9,7,14-16,16,10,2-4,8,14,9,10-13,2-4,14,14,1-2,14,10,7-9,14-16,17,9-12,1-3,13,13,7-10,19,2-4,2-5,1-3,16,17,16,13,15,1-3,16,17,0.23,0.26,0.07,12.56,8.90,7.15,8.28,2.94,8.81,0.11,9,-,-,4%,1.31,-,-,45,-,-,-,-,-,0.09,-,3.24,Premier League,Physical,Strong defensive midfielder,Reserved,0,0.41,0.47,0.23,0.15,0,1.74,0.06,63%,0.23,0.15,68.34,0.15,0.96,0.09,-,,- -  - 
Frederik Højer,"D (RL), AM (R)",22,DEN,"6'0""",171 lbs,,PSV,£500K - £5.2M,6.85,1,0.54,0,-,0.52,45%,0.24,0.09,42.30,83%,1.23,10,85,15%,2.85,82%,0,2.18,44,20,5.45,3.89,71%,0,1.94,9,8.4mi,2,0,1,20 (16),"1,898",11,2,0,52.72,5,115,13,176.1mi,41,82,46,26,"1,081",892,73,60,30/6/2035,"£32,000 p/w",Right,14-17,1-5,6-9,13-16,9-12,14-18,14-18,1-3,3-6,10-13,6-10,4-8,10-13,11-14,9-12,5-8,1-5,1-4,12-15,7-11,1-5,1-3,8,13,2-5,12-15,4-7,11-14,8-12,13-16,9-12,1-5,13-17,6-9,5-8,6-10,1-3,1-4,2-6,12-15,13-16,12,11-15,8-11,3-6,8-12,12-15,0.57,0.76,0.05,16.64,14.65,14.08,10.57,3.08,7.68,0.11,16,-,-,9%,1.23,-,-,26,-,-,-,-,-,0.03,-,0.54,Eredivisie,Physical,Fullback,Scouting Required,0,0.47,2.09,4.03,0.62,0,1.56,0.00,15%,4.03,0.62,51.26,0.33,0.14,0.03,-,Int,- -  - 
Henrique Arreiol,"DM, M (C)",26,POR,"6'2""",194 lbs,,Varzim,£7.2M - £11.5M,6.89,3,1.05,0,-,0.37,31%,0.11,0.03,66.15,90%,0.29,6,7,14%,2.27,77%,2,1.92,28,35,3.67,2.30,63%,1,0.77,9,8.4mi,6,0,0,36,"3,136",13,1,0,87.11,4,128,1,291.9mi,27,80,67,10,"2,554","2,305",102,79,30/6/2035,"£4,400 p/w",Right,13-17,-,6-10,9-15,10-16,14-20,7-13,-,-,12-16,10-14,2-6,4-8,13-17,13-17,10-16,-,5-11,12-16,7-11,1-7,-,8-12,12-16,-,10-14,10-14,-,12-16,12-16,6-12,-,10-14,10-14,-,12-18,-,-,-,14-18,11-15,7-11,8-12,14-18,-,11-15,13-17,0.55,0.26,0.08,7.52,9.04,8.90,12.31,3.33,4.56,0.06,9,-,-,23%,0.29,-,-,10,-,-,-,-,-,0.03,-,1.05,Liga Portugal Betclic,Physical,Late developer,Scouting Required,0,0.17,0.80,0.20,0.03,0,1.38,0.06,14%,0.20,0.03,73.30,0.14,0.20,0.03,-,,- -  - 
Eduardo Felicíssimo,"DM, M (C)",25,POR,"6'2""",180 lbs,,Real Betis,£850K - £8.4M,6.88,1,3.52,0,-,1.48,24%,0.36,0.09,48.82,88%,1.04,15,10,20%,2.75,76%,6,1.81,21,37,5.00,3.38,67%,0,1.12,16,8.9mi,2,0,2,35 (1),"3,040",50,3,0,84.44,12,169,2,299.7mi,38,114,61,35,"1,871","1,649",123,93,30/6/2034,"£11,500 p/w",Right,11-17,-,8-14,9-13,10-14,14-18,9-13,-,-,12-16,12-18,1-7,4-10,12-16,13-17,6-10,-,5-9,12-16,7-13,4-8,-,8-12,11-17,-,9-15,7-11,2-6,9-15,13-19,6-10,-,10-14,12-18,-,14-18,-,-,-,13-17,12-16,10-14,11-15,10-14,-,11-15,13-17,0.30,0.38,0.07,15.28,9.74,7.96,11.87,3.02,5.51,0.10,13,-,-,2%,1.04,-,-,35,-,-,-,-,-,0.10,-,3.52,LaLiga EA Sports,Physical,Midfielder,Scouting Required,0,0.44,0.62,0.30,0.06,0,1.63,0.18,20%,0.30,0.06,55.39,0.24,0.86,0.10,-,,- -  - 
Morgan Rogers,"AM (RLC), ST (C)",29,ENG,"6'2""",180 lbs,,Aston Villa,£52M - £83M,6.76,2,6.09,0,-,1.96,38%,0.74,0.11,24.50,82%,1.43,4,46,10%,2.70,81%,1,2.22,11,21,10.42,2.70,26%,0,2.54,25,8.9mi,0,0,16,18 (17),"1,701",37,2,0,48.60,14,197,10,167.9mi,48,51,42,27,565,463,63,51,30/6/2033,"£180,000 p/w",Right,15,3-6,7-11,15-19,13-17,11-14,8-11,1-3,1-3,11-14,9-12,8-11,10-14,10-14,12-15,12-16,1-3,9-12,12-15,15-18,3-6,1-2,8,12,1-4,6-10,9-13,1-4,9-12,10-14,13-17,2-5,14,9-13,3-7,5-8,1-5,1-3,3-6,11-15,10-13,9-12,13-16,13-17,1-3,13-16,10-14,0.00,0.05,0.16,12.96,7.04,10.53,15.40,4.29,1.96,0.10,1,-,-,5%,0.74,-,-,14,-,-,-,-,-,0.32,-,6.09,Premier League,Physical,Attacking midfielder,Scouting Required,0,0.21,0.58,2.43,0.53,0,7.72,0.05,22%,1.01,0.11,29.89,0.00,0.53,0.32,-,,- -  - 
Logan Costa,D (C),31,CPV,"6'3""",191 lbs,,Villarreal,£11.5M - £15M,7.02,1,0.84,0,-,0.69,46%,0.32,-,67.63,91%,0.47,0,2,-,1.42,75%,4,2.22,27,7,7.39,4.80,65%,1,0.16,2,7.9mi,1,0,1,14 (21),"1,706",13,0,0,48.74,6,140,0,149.8mi,3,91,42,9,"1,402","1,282",36,27,30/6/2033,"£46,500 p/w",Right,13-17,-,13-17,14-18,12-16,12-16,11-15,-,-,10-16,12-16,3-7,10-14,9-15,13-19,7-11,-,-,11-17,3-7,3-7,-,13-17,10-14,-,9-13,4-10,6-12,10-14,14-18,8-12,-,11-15,13-17,4-8,12-16,-,-,-,10-16,12-18,11-15,10-14,8-14,-,10-14,9-15,0.37,0.53,0.06,6.23,13.19,6.96,3.27,0.95,6.59,0.02,10,-,-,8%,0.47,-,-,9,-,-,-,-,-,0.04,-,0.84,LaLiga EA Sports,Physical,Center back,Scouting Required,0,-,1.42,0.11,0.00,0,2.58,0.21,0%,0.11,0.00,73.96,0.16,0.11,0.04,-,,- -  - 
Josh Sargent,"AM (RC), ST (C)",32,USA,"6'1""",174 lbs,Resolute,Sassuolo,Not for Sale,7.05,16,14.16,2,100%,2.30,45%,1.04,0.06,19.15,80%,0.69,13,33,21%,3.28,86%,2,0.95,19,56,11.39,4.80,42%,0,1.18,57,8.3mi,2,0,33,35,"3,130",80,2,2,89.43,36,396,7,287.9mi,41,167,33,24,829,666,132,114,30/6/2033,"£95,000 p/w",Right,14,1-3,15,12-14,12-14,13-15,14-16,2-4,1-3,14,12-15,2-5,7,14,16,10,1-2,16,15,10,7-9,2-5,14,15,1,11-14,9,2-4,5-8,17,16,1-4,15,12,16,9-11,1-3,2-4,1-2,15,13,5-7,15,11,1-2,13,17,0.09,0.26,0.18,10.12,5.72,9.00,11.62,2.76,1.06,0.09,9,-,-,20%,0.69,-,-,24,-,-,-,-,-,0.36,-,12.57,Serie A TIM,Physical,Experienced striker,Media-friendly,0,0.37,0.55,0.95,0.20,2,6.58,0.06,21%,0.95,0.20,23.84,0.00,0.46,0.41,-,Int,- -  - 
Ronny Van de Velde,"AM (RL), ST (C)",22,BEL,"6'4""",180 lbs,,RWD Molenbeek,£5.4M - £6.6M,7.08,15,13.78,1,50%,2.49,51%,1.26,0.18,27.47,89%,0.82,8,23,14%,1.08,71%,1,1.11,12,82,5.89,3.17,54%,0,2.14,52,7.6mi,4,0,47,35,"3,070",85,6,2,87.71,43,201,4,260.0mi,73,108,38,28,"1,058",937,52,37,30/6/2034,"£4,800 p/w",Left,16,1-2,6-10,15-18,8-11,11-14,9-12,2-6,1-2,8-11,5-8,3-6,8-12,8-12,12-15,10-13,1-4,11-14,9-12,12-15,3-6,1-4,9,15,1-3,12-16,5-9,1-2,6-9,11-15,11-14,2-5,15,6-10,6-9,6-9,3-7,3-6,1-3,13-17,8-11,1-4,5-9,11-15,1,4-8,11-15,0.09,0.23,0.16,6.13,4.51,8.47,8.82,2.08,0.67,0.11,8,-,-,18%,0.82,-,-,28,-,-,-,-,-,0.36,-,12.19,Jupiler Pro League,Physical,Striker,Scouting Required,0,0.23,0.35,0.67,0.12,4,2.73,0.03,17%,0.62,0.09,31.02,0.09,0.44,0.40,-,,- -  - 
Pablo Infante,"M/AM (C), ST (C)",23,FRA,"6'2""",178 lbs,,Alavés,£8.2M - £10M,6.73,1,1.98,0,-,1.09,40%,0.43,0.05,37.40,85%,0.92,7,21,14%,2.93,79%,2,2.61,19,15,5.92,3.53,60%,1,0.92,16,8.4mi,1,0,1,16 (19),"1,658",20,1,0,47.37,8,109,3,155.0mi,17,65,48,17,807,689,68,54,30/6/2034,"£12,250 p/w",Left,10-14,-,9-13,11-15,10-14,11-17,13-19,-,-,15-19,10-14,2-6,5-9,9-13,15-19,9-13,-,7-13,13-17,14-18,5-11,-,8-14,12-16,-,7-11,4-8,2-6,7-11,13-17,13-17,-,12-18,10-14,-,6-12,-,-,-,9-13,13-17,9-15,8-14,11-15,-,12-18,6-10,0.43,0.33,0.10,9.17,10.53,10.53,14.22,3.15,3.69,0.07,6,-,-,5%,0.92,-,-,17,-,-,-,-,-,0.11,-,1.98,LaLiga EA Sports,Physical,Midfielder,Scouting Required,0,0.38,1.03,1.14,0.16,0,2.39,0.11,14%,1.14,0.16,43.81,0.27,0.43,0.11,-,,- -  - 
